id,username,password,name,group_id,profession_info_id,parent_user_id
1,admin,$2a$04$HuStrglLxgy85AZ1NBTJJe/AhByV3B7S0nfjy0xZtMxruFZ2mBbky,系统管理员,1,1,1
2,111111,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,董事长,2,2,1
3,12033214123,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业一部总经理,3,3,2
4,14412554424,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业二部总经理,4,3,2
5,18814563225,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业一部开发一部部门经理,5,4,3
6,16745431421,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业一部开发二部部门经理,6,4,3
7,12366273623,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业二部开发三部部门经理,5,4,4
8,15534385230,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业二部开发四部部门经理,6,4,4
9,19654399014,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业一部技术专家,3,5,3
10,1535300988,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业一部测试专家,4,6,3
11,16314111111,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业一部运维专家,3,7,3
12,13342342441,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业二部技术专家,4,5,4
13,15347544333,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业二部测试专家,4,6,4
14,12222642542,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,事业二部运维专家,5,7,4
15,12326224585,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部技术经理,5,8,5
16,13032142345,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部测试经理,7,9,5
17,19235563054,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部运维经理,9,10,5
18,13598013442,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发二部技术经理,6,8,6
19,17483712513,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发二部测试经理,8,9,6
20,16800982134,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发二部运维经理,10,10,6
21,13325553543,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发三部技术经理,11,8,7
22,15542642435,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发三部测试经理,13,9,7
23,14354224254,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发三部运维经理,15,10,7
24,19903213521,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发四部技术经理,12,8,8
25,18325123428,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发四部测试经理,14,9,8
26,18325252144,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发四部运维经理,16,10,8
27,17824515210,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部高级开发工程师,5,11,5
28,16235244952,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部高级测试工程师,7,12,5
29,13525564364,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部高级运维工程师,9,13,5
30,17593842481,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部开发工程师,5,14,5
31,16499325813,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部测试工程师,7,15,5
32,19375295641,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部运维工程师,9,16,5
33,18943145491,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部初级开发工程师,5,17,5
34,16504739320,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部初级测试工程师,7,18,5
35,19843432432,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发一部初级运维工程师,9,19,5
36,17257490279,$2a$04$1dTzXr90nxMDgsq2.gda9eoLC3k6Tid/hUTXcDP9fJb5k5h5KVezq,开发二部高级开发工程师,6,11,6
